Month,State,TRX,Inc_TRx,NRx,Inc_NRx
2023-05-31 12:00:00 AM,Alabama,519,0,200,0
2023-06-30 12:00:00 AM,Alabama,1451,932,552,352
2023-07-31 12:00:00 AM,Alabama,1439,-12,521,-31
2023-08-31 12:00:00 AM,Alabama,1472,33,570,49
2023-09-30 12:00:00 AM,Alabama,1467,-5,564,-6
2023-10-31 12:00:00 AM,Alabama,1549,82,602,38
2023-11-30 12:00:00 AM,Alabama,1534,-15,610,8
2023-12-31 12:00:00 AM,Alabama,1550,16,568,-42
2024-01-31 12:00:00 AM,Alabama,1655,105,576,8
2024-02-29 12:00:00 AM,Alabama,1355,-300,525,-51
2024-03-31 12:00:00 AM,Alabama,1651,296,730,205
2024-04-30 12:00:00 AM,Alabama,1854,203,647,-83
2024-05-31 12:00:00 AM,Alabama,1657,-197,631,-16
2024-06-30 12:00:00 AM,Alabama,1439,-218,588,-43
2024-07-31 12:00:00 AM,Alabama,1838,399,691,103
2024-08-31 12:00:00 AM,Alabama,1622,-216,644,-47
2024-09-30 12:00:00 AM,Alabama,1659,37,620,-24
2024-10-31 12:00:00 AM,Alabama,1732,73,709,89
2024-11-30 12:00:00 AM,Alabama,1568,-164,574,-135
2024-12-31 12:00:00 AM,Alabama,1702,134,598,24
2025-01-31 12:00:00 AM,Alabama,1726,24,650,52
2025-02-28 12:00:00 AM,Alabama,1653,-73,642,-8
2025-03-31 12:00:00 AM,Alabama,1770,117,672,30
2025-04-30 12:00:00 AM,Alabama,1856,86,704,32
2025-05-31 12:00:00 AM,Alabama,1908,52,712,8
2025-06-30 12:00:00 AM,Alabama,446,-1462,169,-543
2023-05-31 12:00:00 AM,Alaska,19,0,4,0
2023-06-30 12:00:00 AM,Alaska,84,65,32,28
2023-07-31 12:00:00 AM,Alaska,77,-7,24,-8
2023-08-31 12:00:00 AM,Alaska,85,8,27,3
2023-09-30 12:00:00 AM,Alaska,96,11,44,17
2023-10-31 12:00:00 AM,Alaska,85,-11,26,-18
2023-11-30 12:00:00 AM,Alaska,79,-6,26,0
2023-12-31 12:00:00 AM,Alaska,87,8,28,2
2024-01-31 12:00:00 AM,Alaska,87,0,36,8
2024-02-29 12:00:00 AM,Alaska,74,-13,20,-16
2024-03-31 12:00:00 AM,Alaska,70,-4,16,-4
2024-04-30 12:00:00 AM,Alaska,90,20,19,3
2024-05-31 12:00:00 AM,Alaska,97,7,33,14
2024-06-30 12:00:00 AM,Alaska,84,-13,38,5
2024-07-31 12:00:00 AM,Alaska,108,24,40,2
2024-08-31 12:00:00 AM,Alaska,79,-29,24,-16
2024-09-30 12:00:00 AM,Alaska,89,10,31,7
2024-10-31 12:00:00 AM,Alaska,90,1,28,-3
2024-11-30 12:00:00 AM,Alaska,89,-1,32,4
2024-12-31 12:00:00 AM,Alaska,97,8,36,4
2025-01-31 12:00:00 AM,Alaska,104,7,43,7
2025-02-28 12:00:00 AM,Alaska,86,-18,26,-17
2025-03-31 12:00:00 AM,Alaska,98,12,34,8
2025-04-30 12:00:00 AM,Alaska,90,-8,32,-2
2025-05-31 12:00:00 AM,Alaska,106,16,36,4
2025-06-30 12:00:00 AM,Alaska,16,-90,3,-33
2023-05-31 12:00:00 AM,Arizona,584,0,258,0
2023-06-30 12:00:00 AM,Arizona,1831,1247,777,519
2023-07-31 12:00:00 AM,Arizona,1741,-90,718,-59
2023-08-31 12:00:00 AM,Arizona,2034,293,914,196
2023-09-30 12:00:00 AM,Arizona,1804,-230,781,-133
2023-10-31 12:00:00 AM,Arizona,2051,247,841,60
2023-11-30 12:00:00 AM,Arizona,1990,-61,754,-87
2023-12-31 12:00:00 AM,Arizona,2042,52,742,-12
2024-01-31 12:00:00 AM,Arizona,2298,256,874,132
2024-02-29 12:00:00 AM,Arizona,1611,-687,671,-203
2024-03-31 12:00:00 AM,Arizona,2305,694,985,314
2024-04-30 12:00:00 AM,Arizona,3106,801,1114,129
2024-05-31 12:00:00 AM,Arizona,2346,-760,969,-145
2024-06-30 12:00:00 AM,Arizona,2035,-311,881,-88
2024-07-31 12:00:00 AM,Arizona,2526,491,1008,127
2024-08-31 12:00:00 AM,Arizona,2283,-243,1017,9
2024-09-30 12:00:00 AM,Arizona,2285,2,973,-44
2024-10-31 12:00:00 AM,Arizona,2420,135,1065,92
2024-11-30 12:00:00 AM,Arizona,2016,-404,896,-169
2024-12-31 12:00:00 AM,Arizona,2390,374,957,61
2025-01-31 12:00:00 AM,Arizona,2172,-218,937,-20
2025-02-28 12:00:00 AM,Arizona,1837,-335,803,-134
2025-03-31 12:00:00 AM,Arizona,2039,202,881,78
2025-04-30 12:00:00 AM,Arizona,2083,44,923,42
2025-05-31 12:00:00 AM,Arizona,2374,291,1089,166
2025-06-30 12:00:00 AM,Arizona,591,-1783,285,-804
2023-05-31 12:00:00 AM,Arkansas,556,0,171,0
2023-06-30 12:00:00 AM,Arkansas,1624,1068,531,360
2023-07-31 12:00:00 AM,Arkansas,1693,69,574,43
2023-08-31 12:00:00 AM,Arkansas,1705,12,587,13
2023-09-30 12:00:00 AM,Arkansas,1551,-154,527,-60
2023-10-31 12:00:00 AM,Arkansas,1693,142,641,114
2023-11-30 12:00:00 AM,Arkansas,1681,-12,560,-81
2023-12-31 12:00:00 AM,Arkansas,1664,-17,530,-30
2024-01-31 12:00:00 AM,Arkansas,1772,108,570,40
2024-02-29 12:00:00 AM,Arkansas,1536,-236,500,-70
2024-03-31 12:00:00 AM,Arkansas,1761,225,611,111
2024-04-30 12:00:00 AM,Arkansas,2011,250,633,22
2024-05-31 12:00:00 AM,Arkansas,1959,-52,592,-41
2024-06-30 12:00:00 AM,Arkansas,1893,-66,590,-2
2024-07-31 12:00:00 AM,Arkansas,2087,194,580,-10
2024-08-31 12:00:00 AM,Arkansas,2026,-61,629,49
2024-09-30 12:00:00 AM,Arkansas,1965,-61,560,-69
2024-10-31 12:00:00 AM,Arkansas,2198,233,698,138
2024-11-30 12:00:00 AM,Arkansas,2111,-87,641,-57
2024-12-31 12:00:00 AM,Arkansas,2266,155,663,22
2025-01-31 12:00:00 AM,Arkansas,2230,-36,670,7
2025-02-28 12:00:00 AM,Arkansas,2019,-211,633,-37
2025-03-31 12:00:00 AM,Arkansas,2264,245,694,61
2025-04-30 12:00:00 AM,Arkansas,2261,-3,666,-28
2025-05-31 12:00:00 AM,Arkansas,2381,120,765,99
2025-06-30 12:00:00 AM,Arkansas,549,-1832,184,-581
2023-05-31 12:00:00 AM,California,1137,0,459,0
2023-06-30 12:00:00 AM,California,2985,1848,1178,719
2023-07-31 12:00:00 AM,California,3036,51,1228,50
2023-08-31 12:00:00 AM,California,3257,221,1393,165
2023-09-30 12:00:00 AM,California,3122,-135,1266,-127
2023-10-31 12:00:00 AM,California,3360,238,1423,157
2023-11-30 12:00:00 AM,California,3320,-40,1337,-86
2023-12-31 12:00:00 AM,California,3620,300,1448,111
2024-01-31 12:00:00 AM,California,3898,278,1572,124
2024-02-29 12:00:00 AM,California,3443,-455,1422,-150
2024-03-31 12:00:00 AM,California,3737,294,1548,126
2024-04-30 12:00:00 AM,California,3998,261,1566,18
2024-05-31 12:00:00 AM,California,4226,228,1683,117
2024-06-30 12:00:00 AM,California,3976,-250,1609,-74
2024-07-31 12:00:00 AM,California,4376,400,1725,116
2024-08-31 12:00:00 AM,California,4565,189,1949,224
2024-09-30 12:00:00 AM,California,4221,-344,1747,-202
2024-10-31 12:00:00 AM,California,4904,683,1912,165
2024-11-30 12:00:00 AM,California,4337,-567,1722,-190
2024-12-31 12:00:00 AM,California,4949,612,1987,265
2025-01-31 12:00:00 AM,California,5037,88,2097,110
2025-02-28 12:00:00 AM,California,4650,-387,1909,-188
2025-03-31 12:00:00 AM,California,5229,579,2195,286
2025-04-30 12:00:00 AM,California,5453,224,2268,73
2025-05-31 12:00:00 AM,California,5565,112,2359,91
2025-06-30 12:00:00 AM,California,1202,-4363,508,-1851
2023-05-31 12:00:00 AM,Colorado,332,0,153,0
2023-06-30 12:00:00 AM,Colorado,915,583,416,263
2023-07-31 12:00:00 AM,Colorado,889,-26,413,-3
2023-08-31 12:00:00 AM,Colorado,1009,120,462,49
2023-09-30 12:00:00 AM,Colorado,791,-218,345,-117
2023-10-31 12:00:00 AM,Colorado,975,184,454,109
2023-11-30 12:00:00 AM,Colorado,1029,54,485,31
2023-12-31 12:00:00 AM,Colorado,1077,48,506,21
2024-01-31 12:00:00 AM,Colorado,1270,193,561,55
2024-02-29 12:00:00 AM,Colorado,981,-289,459,-102
2024-03-31 12:00:00 AM,Colorado,1448,467,575,116
2024-04-30 12:00:00 AM,Colorado,1705,257,629,54
2024-05-31 12:00:00 AM,Colorado,1320,-385,635,6
2024-06-30 12:00:00 AM,Colorado,1263,-57,540,-95
2024-07-31 12:00:00 AM,Colorado,1633,370,676,136
2024-08-31 12:00:00 AM,Colorado,1399,-234,699,23
2024-09-30 12:00:00 AM,Colorado,1356,-43,609,-90
2024-10-31 12:00:00 AM,Colorado,1840,484,838,229
2024-11-30 12:00:00 AM,Colorado,1479,-361,652,-186
2024-12-31 12:00:00 AM,Colorado,1752,273,800,148
2025-01-31 12:00:00 AM,Colorado,1755,3,798,-2
2025-02-28 12:00:00 AM,Colorado,1616,-139,737,-61
2025-03-31 12:00:00 AM,Colorado,1783,167,819,82
2025-04-30 12:00:00 AM,Colorado,1855,72,770,-49
2025-05-31 12:00:00 AM,Colorado,1848,-7,823,53
2025-06-30 12:00:00 AM,Colorado,410,-1438,184,-639
2023-05-31 12:00:00 AM,Connecticut,349,0,149,0
2023-06-30 12:00:00 AM,Connecticut,1011,662,464,315
2023-07-31 12:00:00 AM,Connecticut,1025,14,483,19
2023-08-31 12:00:00 AM,Connecticut,1091,66,497,14
2023-09-30 12:00:00 AM,Connecticut,971,-120,433,-64
2023-10-31 12:00:00 AM,Connecticut,1126,155,498,65
2023-11-30 12:00:00 AM,Connecticut,1098,-28,456,-42
2023-12-31 12:00:00 AM,Connecticut,1112,14,490,34
2024-01-31 12:00:00 AM,Connecticut,1239,127,556,66
2024-02-29 12:00:00 AM,Connecticut,1137,-102,528,-28
2024-03-31 12:00:00 AM,Connecticut,1253,116,608,80
2024-04-30 12:00:00 AM,Connecticut,1443,190,635,27
2024-05-31 12:00:00 AM,Connecticut,1364,-79,613,-22
2024-06-30 12:00:00 AM,Connecticut,1405,41,640,27
2024-07-31 12:00:00 AM,Connecticut,1514,109,705,65
2024-08-31 12:00:00 AM,Connecticut,1544,30,744,39
2024-09-30 12:00:00 AM,Connecticut,1499,-45,698,-46
2024-10-31 12:00:00 AM,Connecticut,1708,209,779,81
2024-11-30 12:00:00 AM,Connecticut,1530,-178,682,-97
2024-12-31 12:00:00 AM,Connecticut,1768,238,783,101
2025-01-31 12:00:00 AM,Connecticut,1750,-18,877,94
2025-02-28 12:00:00 AM,Connecticut,1597,-153,760,-117
2025-03-31 12:00:00 AM,Connecticut,1812,215,844,84
2025-04-30 12:00:00 AM,Connecticut,1823,11,828,-16
2025-05-31 12:00:00 AM,Connecticut,1906,83,938,110
2025-06-30 12:00:00 AM,Connecticut,420,-1486,194,-744
2023-05-31 12:00:00 AM,Delaware,202,0,76,0
2023-06-30 12:00:00 AM,Delaware,500,298,208,132
2023-07-31 12:00:00 AM,Delaware,531,31,219,11
2023-08-31 12:00:00 AM,Delaware,575,44,246,27
2023-09-30 12:00:00 AM,Delaware,506,-69,198,-48
2023-10-31 12:00:00 AM,Delaware,547,41,206,8
2023-11-30 12:00:00 AM,Delaware,521,-26,221,15
2023-12-31 12:00:00 AM,Delaware,505,-16,184,-37
2024-01-31 12:00:00 AM,Delaware,596,91,254,70
2024-02-29 12:00:00 AM,Delaware,480,-116,204,-50
2024-03-31 12:00:00 AM,Delaware,523,43,215,11
2024-04-30 12:00:00 AM,Delaware,596,73,228,13
2024-05-31 12:00:00 AM,Delaware,549,-47,221,-7
2024-06-30 12:00:00 AM,Delaware,543,-6,248,27
2024-07-31 12:00:00 AM,Delaware,615,72,261,13
2024-08-31 12:00:00 AM,Delaware,644,29,249,-12
2024-09-30 12:00:00 AM,Delaware,688,44,239,-10
2024-10-31 12:00:00 AM,Delaware,744,56,255,16
2024-11-30 12:00:00 AM,Delaware,699,-45,267,12
2024-12-31 12:00:00 AM,Delaware,783,84,277,10
2025-01-31 12:00:00 AM,Delaware,756,-27,243,-34
2025-02-28 12:00:00 AM,Delaware,715,-41,267,24
2025-03-31 12:00:00 AM,Delaware,804,89,289,22
2025-04-30 12:00:00 AM,Delaware,756,-48,260,-29
2025-05-31 12:00:00 AM,Delaware,787,31,299,39
2025-06-30 12:00:00 AM,Delaware,168,-619,45,-254
2023-05-31 12:00:00 AM,Florida,3634,0,1257,0
2023-06-30 12:00:00 AM,Florida,9393,5759,3514,2257
2023-07-31 12:00:00 AM,Florida,9066,-327,3293,-221
2023-08-31 12:00:00 AM,Florida,9906,840,3721,428
2023-09-30 12:00:00 AM,Florida,8764,-1142,3229,-492
2023-10-31 12:00:00 AM,Florida,9725,961,3669,440
2023-11-30 12:00:00 AM,Florida,9326,-399,3517,-152
2023-12-31 12:00:00 AM,Florida,9545,219,3496,-21
2024-01-31 12:00:00 AM,Florida,10166,621,3832,336
2024-02-29 12:00:00 AM,Florida,8664,-1502,3412,-420
2024-03-31 12:00:00 AM,Florida,9883,1219,4207,795
2024-04-30 12:00:00 AM,Florida,11363,1480,4123,-84
2024-05-31 12:00:00 AM,Florida,9945,-1418,3874,-249
2024-06-30 12:00:00 AM,Florida,9162,-783,3567,-307
2024-07-31 12:00:00 AM,Florida,10883,1721,4065,498
2024-08-31 12:00:00 AM,Florida,10113,-770,3965,-100
2024-09-30 12:00:00 AM,Florida,10119,6,3888,-77
2024-10-31 12:00:00 AM,Florida,10937,818,4221,333
2024-11-30 12:00:00 AM,Florida,9999,-938,3899,-322
2024-12-31 12:00:00 AM,Florida,10891,892,3899,0
2025-01-31 12:00:00 AM,Florida,11185,294,4439,540
2025-02-28 12:00:00 AM,Florida,10233,-952,4144,-295
2025-03-31 12:00:00 AM,Florida,11088,855,4367,223
2025-04-30 12:00:00 AM,Florida,11468,380,4451,84
2025-05-31 12:00:00 AM,Florida,11782,314,4629,178
2025-06-30 12:00:00 AM,Florida,2538,-9244,1017,-3612
2023-05-31 12:00:00 AM,Georgia,1069,0,375,0
2023-06-30 12:00:00 AM,Georgia,2868,1799,1069,694
2023-07-31 12:00:00 AM,Georgia,2915,47,978,-91
2023-08-31 12:00:00 AM,Georgia,3040,125,1128,150
2023-09-30 12:00:00 AM,Georgia,2557,-483,924,-204
2023-10-31 12:00:00 AM,Georgia,2392,-165,989,65
2023-11-30 12:00:00 AM,Georgia,2402,10,920,-69
2023-12-31 12:00:00 AM,Georgia,2557,155,997,77
2024-01-31 12:00:00 AM,Georgia,2642,85,1065,68
2024-02-29 12:00:00 AM,Georgia,2404,-238,1001,-64
2024-03-31 12:00:00 AM,Georgia,2667,263,1118,117
2024-04-30 12:00:00 AM,Georgia,3040,373,988,-130
2024-05-31 12:00:00 AM,Georgia,2656,-384,939,-49
2024-06-30 12:00:00 AM,Georgia,2722,66,1107,168
2024-07-31 12:00:00 AM,Georgia,3368,646,1266,159
2024-08-31 12:00:00 AM,Georgia,3069,-299,1288,22
2024-09-30 12:00:00 AM,Georgia,2885,-184,1200,-88
2024-10-31 12:00:00 AM,Georgia,3257,372,1281,81
2024-11-30 12:00:00 AM,Georgia,2934,-323,1257,-24
2024-12-31 12:00:00 AM,Georgia,3256,322,1298,41
2025-01-31 12:00:00 AM,Georgia,3115,-141,1259,-39
2025-02-28 12:00:00 AM,Georgia,2835,-280,1139,-120
2025-03-31 12:00:00 AM,Georgia,3268,433,1403,264
2025-04-30 12:00:00 AM,Georgia,3346,78,1400,-3
2025-05-31 12:00:00 AM,Georgia,3316,-30,1405,5
2025-06-30 12:00:00 AM,Georgia,857,-2459,328,-1077
2023-05-31 12:00:00 AM,Hawaii,26,0,11,0
2023-06-30 12:00:00 AM,Hawaii,71,45,37,26
2023-07-31 12:00:00 AM,Hawaii,96,25,51,14
2023-08-31 12:00:00 AM,Hawaii,111,15,60,9
2023-09-30 12:00:00 AM,Hawaii,85,-26,50,-10
2023-10-31 12:00:00 AM,Hawaii,116,31,57,7
2023-11-30 12:00:00 AM,Hawaii,101,-15,44,-13
2023-12-31 12:00:00 AM,Hawaii,82,-19,42,-2
2024-01-31 12:00:00 AM,Hawaii,121,39,64,22
2024-02-29 12:00:00 AM,Hawaii,107,-14,69,5
2024-03-31 12:00:00 AM,Hawaii,105,-2,58,-11
2024-04-30 12:00:00 AM,Hawaii,162,57,92,34
2024-05-31 12:00:00 AM,Hawaii,127,-35,72,-20
2024-06-30 12:00:00 AM,Hawaii,139,12,78,6
2024-07-31 12:00:00 AM,Hawaii,149,10,93,15
2024-08-31 12:00:00 AM,Hawaii,179,30,108,15
2024-09-30 12:00:00 AM,Hawaii,182,3,101,-7
2024-10-31 12:00:00 AM,Hawaii,201,19,128,27
2024-11-30 12:00:00 AM,Hawaii,196,-5,114,-14
2024-12-31 12:00:00 AM,Hawaii,192,-4,114,0
2025-01-31 12:00:00 AM,Hawaii,268,76,165,51
2025-02-28 12:00:00 AM,Hawaii,191,-77,95,-70
2025-03-31 12:00:00 AM,Hawaii,225,34,138,43
2025-04-30 12:00:00 AM,Hawaii,259,34,147,9
2025-05-31 12:00:00 AM,Hawaii,223,-36,131,-16
2025-06-30 12:00:00 AM,Hawaii,51,-172,32,-99
2023-05-31 12:00:00 AM,Idaho,115,0,49,0
2023-06-30 12:00:00 AM,Idaho,262,147,113,64
2023-07-31 12:00:00 AM,Idaho,250,-12,93,-20
2023-08-31 12:00:00 AM,Idaho,242,-8,85,-8
2023-09-30 12:00:00 AM,Idaho,243,1,88,3
2023-10-31 12:00:00 AM,Idaho,259,16,92,4
2023-11-30 12:00:00 AM,Idaho,253,-6,91,-1
2023-12-31 12:00:00 AM,Idaho,272,19,107,16
2024-01-31 12:00:00 AM,Idaho,291,19,123,16
2024-02-29 12:00:00 AM,Idaho,268,-23,113,-10
2024-03-31 12:00:00 AM,Idaho,267,-1,106,-7
2024-04-30 12:00:00 AM,Idaho,327,60,128,22
2024-05-31 12:00:00 AM,Idaho,311,-16,123,-5
2024-06-30 12:00:00 AM,Idaho,279,-32,128,5
2024-07-31 12:00:00 AM,Idaho,329,50,118,-10
2024-08-31 12:00:00 AM,Idaho,306,-23,134,16
2024-09-30 12:00:00 AM,Idaho,307,1,127,-7
2024-10-31 12:00:00 AM,Idaho,365,58,168,41
2024-11-30 12:00:00 AM,Idaho,312,-53,113,-55
2024-12-31 12:00:00 AM,Idaho,336,24,122,9
2025-01-31 12:00:00 AM,Idaho,385,49,162,40
2025-02-28 12:00:00 AM,Idaho,312,-73,132,-30
2025-03-31 12:00:00 AM,Idaho,344,32,140,8
2025-04-30 12:00:00 AM,Idaho,381,37,160,20
2025-05-31 12:00:00 AM,Idaho,373,-8,150,-10
2025-06-30 12:00:00 AM,Idaho,78,-295,27,-123
2023-05-31 12:00:00 AM,Illinois,1279,0,517,0
2023-06-30 12:00:00 AM,Illinois,3611,2332,1517,1000
2023-07-31 12:00:00 AM,Illinois,3526,-85,1434,-83
2023-08-31 12:00:00 AM,Illinois,3880,354,1653,219
2023-09-30 12:00:00 AM,Illinois,3647,-233,1523,-130
2023-10-31 12:00:00 AM,Illinois,3864,217,1530,7
2023-11-30 12:00:00 AM,Illinois,3906,42,1533,3
2023-12-31 12:00:00 AM,Illinois,3990,84,1575,42
2024-01-31 12:00:00 AM,Illinois,4189,199,1745,170
2024-02-29 12:00:00 AM,Illinois,4522,333,2083,338
2024-03-31 12:00:00 AM,Illinois,4375,-147,2134,51
2024-04-30 12:00:00 AM,Illinois,5371,996,2175,41
2024-05-31 12:00:00 AM,Illinois,4497,-874,1895,-280
2024-06-30 12:00:00 AM,Illinois,4325,-172,1798,-97
2024-07-31 12:00:00 AM,Illinois,4854,529,1893,95
2024-08-31 12:00:00 AM,Illinois,4853,-1,2023,130
2024-09-30 12:00:00 AM,Illinois,4749,-104,1906,-117
2024-10-31 12:00:00 AM,Illinois,5213,464,2103,197
2024-11-30 12:00:00 AM,Illinois,4763,-450,1932,-171
2024-12-31 12:00:00 AM,Illinois,5338,575,2073,141
2025-01-31 12:00:00 AM,Illinois,5516,178,2227,154
2025-02-28 12:00:00 AM,Illinois,4974,-542,1981,-246
2025-03-31 12:00:00 AM,Illinois,5731,757,2414,433
2025-04-30 12:00:00 AM,Illinois,5772,41,2313,-101
2025-05-31 12:00:00 AM,Illinois,5840,68,2370,57
2025-06-30 12:00:00 AM,Illinois,1229,-4611,493,-1877
2023-05-31 12:00:00 AM,Indiana,600,0,208,0
2023-06-30 12:00:00 AM,Indiana,1590,990,576,368
2023-07-31 12:00:00 AM,Indiana,1608,18,627,51
2023-08-31 12:00:00 AM,Indiana,1777,169,720,93
2023-09-30 12:00:00 AM,Indiana,1739,-38,729,9
2023-10-31 12:00:00 AM,Indiana,1821,82,756,27
2023-11-30 12:00:00 AM,Indiana,1811,-10,688,-68
2023-12-31 12:00:00 AM,Indiana,2121,310,836,148
2024-01-31 12:00:00 AM,Indiana,2277,156,931,95
2024-02-29 12:00:00 AM,Indiana,2154,-123,915,-16
2024-03-31 12:00:00 AM,Indiana,2426,272,979,64
2024-04-30 12:00:00 AM,Indiana,2748,322,1042,63
